id,tweet,subtask_a
9115,"αντι ο @user να απορριπτει ολες τις αιτησεις οσων ερχονται παρανομα, ωστε να επιστρεφονται στην τουρκια, τους στελνει στην ενδοχωρα, διπλα στα παιδια κ τις γυναικες μας, μπλοκαροντας το δικαιωμα της ελλαδας, οπως λεει η συμφωνια, να τους επιστρεφει πισω. #νδ_no_borders",NOT
1767,"σειρα 361 διμοιρια 2η, the besttt. επομενος σταθμος θηβα, μετα κυπρο σου ερχομαστε, fuegooo #armylife #2019βεσσο #αδειαορκομωσιας #ελδυκ_εισαι_αφου #instamoments #instahub…",NOT
4452,βρε τον ατιμο βουλωμενο γραμμα διαβαζει . ρε μηπως τον ειχε ποτισει ο #καρανικας και δεν ειδε αυτο #ερχεται_πουτσα η αυτο #ερχεται_βοιδοπουτσα η αυτο #ερχεται_καραπουτσακλαρα #syriza_xeftiles #syriza_xeftiles #syriza_xeftiles #syriza_xeftiles,NOT
7799,τι τραβελι ειναι αυτο;μηπως ειναι μαριος;#kalomesimeraki,OFF
6213,μητροπολιτης ιγνατιος: δεν ειναι ουτε ελληνας ουτε ορθοδοξος οποιος αρνειται την προσφορα σε προσφυγες #moriasnews #morias,NOT
8136,@user το γυναικειο μυαλο σε μεγαλο ποσοστο ειναι δυσλειτουργικο κ το λεω εγω που ειμαι γυναικα εχω υποφερει απο το φυλο μου,OFF
7324,ποσο ομορφο τραγουδι #xfactorgr,NOT
6615,"@user τι λες μωρη, οι φασιστες ηρθαν το 15 και εφυγαν το 19, αν μιλαμε για φασιστες διπλα στο λεξικο επρεπε να γραφει (οι πασης φυσεως αριστεροι).",OFF
3703,"@user σημερα η κρητη ειχε 32 βαθμους,ποσο ουγκ εισαι",OFF
9421,@user υπαρχουν πολλοι μαλακες. ο καθενας ομως ειναι ξεχωριστος.,OFF
7829,"βγηκε ο αλλος 21 χρονων γομαρος απο το μπανιο, παιρνει το κουβερλι να σκουπιστει και λεει πολυ παραξενη ειναι αυτη η πετσετα. αντρες με εχετε κουρασει δε σας μπορω αλλο",OFF
412,#shoppingstar σου σηκωθηκε μωρη γιατι ειναι απο γνησιο ψ@user,OFF
5591,ρε γαμωτο... αν η ελευθερια ηθελε οδηγιες χρησεως η σουζανα τι ηθελε; γαμησε μας κατια... #gntmgr,OFF
746,"#βαρουφακης: ""μπορουμε να συνεργαστουμε και με την #νδ_ξεφτιλες με τους #συριζα_προδοτες"". πεφτουμε απο τα συννεφα...",NOT
3489,@user α εισαι και χοντρη; ολα τα κακα σε σενα ρε παιδι μου,OFF
4228,"@user και συγγνωμη να πειτε πρεπει να το δουμε σε πραξεις. οσο ρε ξεφτιλες συνεχιζετε τα παιχνιδια με τη δικαιοσυνη, χωνετε τους τσιρους σας στο δημοσιο απ την πισω πορτα λιγο πριν παρετε πουλους και αποφυλακιζετε με νομους καθε σκουπιδι θα σας εχουμε στη φαπα (πολιτικη παντα).",OFF
288,μιχαλη εισαι και εσυ γελοιος που δεν λες την αληθεια στον κολλητο σου #gynaikaxwrisonoma,OFF
5862,@user αι σιχτιρ εσεις μανταμ.,OFF
4655,ελα ρε παιδια εδιωξαν τον παναγιωτη και ειναι ακομα μεσα ο νονταρης παμε καλα; για την καινουρια δεν με πολυ νοιαζει να σας πω την αληθεια#poweroflovegr,NOT
6843,ποια θεωρειτε φαβορι #gntmgr 2019;,NOT
776,@user εμενα με μπλοκαρε οταν του θυμισα ποσο αποτυχημενος μαλακας ειναι καθως επισης και ολη του την πορεια ως σφουγγοκωλαριου της εκαστοτε εξουσιας. γλοιωδες σαλιγκαρι και πολιτικος χαμαιλεοντας. τουλαχιστον τα διαβαζει ο σιχαμενος και γνωριζει πως #ερχεται_πουτσα κι ανεργια!,OFF
9445,προλαβε η αλλη στα 21 να ειναι επιφυλακτικη με τους αντρες. ρε ασταδιαλα... #thevoicegr,OFF
9897,"ελα μωρε τωρα που ενοχλουνται με το χοιρινο, οι μυγιαγγιχτοι και τι εγινε που ειναι ταλαιπωροι προσφυγες πολεμου εξαθλιωμενοι; βοηθεια με καταπιεζουν δεν μπορω να κανω το τσιγαρακι μου ενω πινω καφε ταυτοχρονα, αχ ο καημενος τι συμφορα, πως θα ζησω τωρα;",OFF
7589,αυτο το μεταπτυχιακο τι το ηθελα γρια γυναικα πατωσα και στο διαγωνισμα,NOT
8229,"@user εξακολουθεις να εισαι εριστικος,βλακας,μαλακας,υποκειμενο.5 χρονια τωρα τα ιδια σου λεω,συνομωτης του κερατα εισαι,.4 χαστουκια απανωτα φαγατε και μυαλο δεν βαλατε.μιλας εσυ ρε για καταλυση του συνταγματος,και του κοινοβουλευτισμου;εσυ,ο πολακης,κ ο τσιπρας;φιλοτιμο δεν εχετε;",OFF
9717,harajuku girls; θα μου χαλασετε τ ονειρο τωρα; αρνουμαι. #gntmgr,NOT
3183,καλημερα ...και για να μην ξεχνιομαστε #ερχεται_πουτσα,NOT
1563,@user καλα προς το παρον πες μας μπανουλη πως εισαι στα 4 ; ευκολο το περπατημα;,NOT
1026,@user σα μοσχαρι εχει γινει τι διαολο τρωνε στο μαξιμου;,OFF
7600,@user στα ποτα και στις πουτανες.,OFF
333,@user οποτε δν ειναι οτι δν καταλαβαινεις δν θελεις να καταλαβεις δαλακα= πολυ καλα στατιστικα συνολικα με παλτα κ πολυ καλα στατιστικα μονο με τις καλυτερες 5 μπορα= καλα στατιστικα συνολικα με παλτα κ χαλια στατιστικα μονο με τοπ 5 αντρες αρα τα μονα φουσκωμενα στατς ειναι του μπορα,NOT
5136,ρε παιδια ισχυει η δεν ισχυει ο νομος οτι δεν επιτρεπεται η χρηση ζωων σε τηλεοπτικα show ; #gntmgr @user,NOT
5565,"με παιρνουν τηλ απο εταιριες να παω για δουλεια και θελω να τους απαντησω ""θα περασω να δω τι μαλακες ειστε κι εσεις"".",OFF
9922,"μελετης: δουκα ελα γρηγορα η γυναικα σου ειναι χλωμη, αρρωστησε... δουκας: χεστην μωρε! ειπε οτι θα κανει τη μορτισια ανταμς για το χαλογουιν γι'αυτο ειναι ετσι. #agriesmelisses",OFF
4000,"ενω το να μιλας για χυδαιοτητα και να παιζουν στο βιντεο σου στιγμες απο το ματι, δεν ειναι για σενα και το συριζαιο σου μυαλο χυδαιοτητα...ειναι κατι που κατ εσε πρεπει να εισαι περηφανη....μη την αφησετε να ξαναβγει...για να μην καει αλλος κοσμος #ekloges2019",NOT
9643,"ρε μαλακισμενο, εγω σου κανω μπουλινγκ;",OFF
2542,@user σιγουρα και δυστυχως επισης σιγουρα εχεις δικιο: κερδισαν οι μαλακες,OFF
7651,@user τρωω τα λεφτα μου σε πουτανες και στα σνικερς,OFF
8813,εχουμε και γεμισει μαλακες πολιτικους και ρουφιανους δημοσιογραφους,OFF
1360,"τα κιτρινα γαντια: ""πορτοκαλαδα δε θετε, λεμοναδα δε θετε, τι θετε""; οταν νομιζεις πως εισαι ο μαιτρ, αλλα τελικα εισαι ο γκιωνακης της επικοινωνιας.",NOT
7358,διωξτε την σουζανα ολο δικαιολογιες. σιχτηρ. #gntmgr,OFF
2809,@user στ' αρχιδια μας,OFF
2596,@user πολιτικος πολιτισμος της νδ_ξεφτιλες,NOT
3388,@user φαινοσουν απο τα αλλα σχολια οτι εισαι ορνιο.. γεια απο μενα,OFF
2535,"ελεγα να κοιμηθω το μεσημερι αλλα με τετοιο θεμα στο σοπινγκ σταρ, δεν το χανω με τπτ #shoppingstar",NOT
4432,@user η δικαιοσυνη ειναι ανεξαρτητη,NOT
3650,@user αρα καταληγουμε στην αρχη. κωλοπαιδα οι μαυροι ολοκληρο καρχαρια πιασανε κ δεν εδωσαν μια μπουκια.,OFF
1015,"#poweroflovegr ποσο γελοιο χριστε μου αυτο με τη σιωπηλη ματια... επισης τι προφιλ ειναι αυτο που εχει η αννα, σα να εχει φαει τηγανια",NOT
6628,#gntmgr σκαστε,OFF
9673,κανεναν αλλον θα μας δειξουν σημερα ; #erwtasmeta,NOT
8481,το αλλο το γιδι η σουζανα μιλαει με την τσιχλα στο στομα πρρρρ.... #gntmgr,OFF
4995,ασημινα.... δε μου πας κατα το γεροδιαολο; αχρηστη #gntmgr,OFF
1359,σουπερ κουραστικη η γωγω ομως #shoppingstar,NOT
1995,@user οπως δεχομαι οτι υπαρχουν πιο μαλακες που ψηφιζουν κατι ακομα χειροτερο. και αυτοι ειναι που θα τον ξαναφερουν πισω σε 3-4 χρονια καβαλα στο αλογο με συντριπτικη πλειοψηφια επειδη γεννηθηκαν μαλακες,OFF
4550,@user μπραβο! τι επαγγελεσαι παρακαλω; εισαι μηπως βασικος; γιατι εδω δε χωρανε βασικοι!,NOT
2415,μωρη γωγωωωωωω #shoppingstar,NOT
5642,@user δακρυσαμε …...να σου ανεβασω 100 βιντεο με κατι 60ρηδες να παντρευοντε 10χρονα κοριτσακια ; α στο διαολο πατσαβουρα,NOT
8121,#gntmgr τι μ@@@user βλεπουμε ρε φιλε τοση ωρα,OFF
1249,"@user βρε αι στο διαολο πανιβλακα που θα μιλησεις σε γυναικα ετσι προπαντος οταν δεν εχεις καν ιδεα τι λες. τραβα πισω στην σπηλια και παιξε με τις μπαλιτσες σου. ηλιθιε, ε ηλιθιε!",OFF
5453,σιγα μην δεν ειχαμε το σνια κ την τσιτα απο #adinamoskrikosgr στο #kalomesimeraki! περιμεναμε σαν παλαβοι! χαχαχαχαχαχαχα,NOT
4574,@user συριζομπητ ποιητης και ντιπ για ντιπ μαλακας...,OFF
2748,"μονο εγω......βλεποντας εδω αυτον τον ογκολιθο........μου ερχεται στο μυαλο η ταινια ""η σιωπη των αμνων"" και ο hannibal lecter...; #ερχεται #ερχεται_πουτσα",NOT
10283,@user ρε αντε στο διαολο απο δω,OFF
3265,@user κυριτση εισαι μια θλιβερη υπαρξη.τωρα βεβαια μιλαμε για σκατοσταλινιστες.,OFF
4877,συγνωμη οταν εχουν οι ff αβανταζ γιατι δεν καθονται να κανουν ανακριση η ζενεβιεβ η ο σκουλος; και σημερα κανουν #gntmgr,NOT
10202,"κιανου ριβς, οι αλλες γυναικες δεν εγκρινουν αυτην που εχεις, διαλεξε μια απο ολες αυτες που ειναι ξεχωριστες και μοναδικες",NOT
2987,@user γι αυτο λεω οτι δεν εισαι γλιτσας!,OFF
286,εαν εχεις συνειδητοποιησει οτι εισαι μαλακας μενεις ταπεινος,OFF
6012,ο ορισμος της κακιας η κατια #gntmgr,NOT
7869,η σουζανα στο τελος θα ζητησει απο τον μπρατη να κανει πασαρελα και να τον βαθμολογησει ... #gntmgr,NOT
5283,ντροπη που κομματικα πουστακια σαν κι εσενα αναπνεουν. #γιαννιτσα #μεταναστευτικο,OFF
3910,"κανενα μπραβο στη #νδ που εδιωξε τον στεφανιδη, ξεφτιλα που τον ειχε εξαρχης. ρατσιστης και ηλιθιος.#κουνεβα",OFF
9842,καλα που τα βρισκει ηnd tous μαλακες σαν bogdanovvv,OFF
193,εισαι πολυ μικρος για να υψωσης το αναστημα σου μπροστα στον ελληνα που η αγωνες του ενδοξα εχουν γραφτει στην παγκοσμια ιστορια με το αιμα του,NOT
9646,μονο μεναν τροπο ηρεμει η αννα. με πουτσα κωνσταντινου #erwtasmeta,OFF
8329,@user τι μαλακας εισαι ρε!,OFF
9126,#gntmgr πηδηξου γενικα ασιμηνα γιατι αυτο σου λειπει κοπελα μου..,OFF
2256,τι λεει τουτο το κοπρανο απο τον βοθρο των #νδ_ξεφτιλες ;!,OFF
8330,@user τοτε πως ειναι μπαι αφου δεν του αρεσουν οι γυναικες;,NOT
5500,ιλντα μου εμετικη η φωτο σου. ..λυπαμαι κουκλα μου #gntmgr,OFF
5912,"η εε εχει λεφτα να επιδοτησει αγνωστους απο 3ες χωρες, αλλα οταν προκειται για τους δικους της πολιτες, το μονο που λεει ειναι λιτοτητα λιτοτητα λιτοτητα. δεν πατε στο διαολο λεω εγω;",OFF
9122,μονο με σεξ θα στρωσουν αυτες #gntmgr,OFF
2761,"@user εσυ μεγαλε για να τελειωνουμε και κακος καθομαι και σου απανταω θελεις να συγκρινω τα σκατα με τις κολωνιες ε; οχι δεν θα το κανω, και καλα ειναι να παραμεινεις εκει που εισαι στο βουνο . ελα γεια σου τωρα",OFF
7332,καλε πονουσε ο πωπουλης μουυ #gntmgr,NOT
3145,@user κοιτα γενικα κοντος δεν ειμαι αλλα μου αρεσει να με παιρνουν γυναικες με στραπον. αν ξυρισω τον κωλο μου και ερθω στο αγρινιο εχω καμια ελπιδα; φοραω παπουτσι νο43 #διακριτικοτητα #εχεμυθια #συναινεση,OFF
479,"@user ασε το τι εχω διαβασει. αν βγαλουμε δηλωσεις απο αποχωρησαντες πρικραμενους απο ολα τα κομματα θα γεμισουμε τομους. σε εκανα μια απλη ερωτηση αλλα παλι δεν... προφανως δεν διαφωνεις πουθενα επι της ουσιας. απλα εισαι οπαδος αλλου κομματος. τελος παντων κουρασαμε, καλη συνεχεια",NOT
7253,πολυ σκατα τα ρουχα τους....ποσο χαλια #gntmgr,OFF
40,#masterchefgr_xeftiles αμε στον αγυριστο με τα μαγειρεματα σας....η ντροπη της τηλεορασης φετος... ξεφτιλα,OFF
4766,@user σκατα στα μουτρα σας μαλακες,OFF
6936,μπραβο ματινα μου #kalomesimeraki,NOT
1916,"η μελιτη ειναι ολοφανερο πια οτι ειναι εγγονη της κατιας, της παλιας κακιας κατιας #gynaikaxwrisonoma",NOT
4629,τον γιο του #παιτερη θ μπορουσε ν τον βαλει διπλα στον καρανικα για δουλεια ν του ετοιμαζει τις τζιβανες κ ν του φερνει καλυτερο χορτο ποιο ξηραμενο #συριζα_ξεφτιλες #συριζα_τελος #syriza_sano_telos #syriza_xeftiles #εκλογες_2019 #ηρθε_και_ηταν_μεγαλη #ερχεται_μεγαλυτερη,NOT
274,απαπα! τι μαλλι ειναι αυτο ρε! τραγικο! θα το δει τοσο μακρυ η καινουργιου και θα θελει και αυτη. #giatinparea,NOT
6650,@user α τους πουστηδες,OFF
2587,"στο μονο που εχει δικιο η μαρθα ειναι με τον αντρεα ,την παρατησε για την κατια #gynaikaxwrisonoma",NOT
4181,@user εννοεις αυτους που αναπαρηγαγαν το δικο σου tweet για τους αναξιοπρεπεις ζητιανους κι αργοσχολους τεμπεληδες που συναποτελουν την οικογενεια σου και που φυσικα ψηφιζουν #syriza_xeftiles για να τσεπωνουν επιδοματα ως αεργοι;! ενημερωσε τους πως #ερχεται_πουτσα την κυριακη!,OFF
6893,αφου υπαρχει η επιλογη καποιος να τους δινει τα πτηνα το κανουν επιτηδες στη παραγωγη για να γελασουμε.. και καλα το κανουν.. #gntmgr,NOT
7772,επ! ειναι απ´αυτους που ψηφιζουν η πιο μικροι; θα το επαναλαβω #νδ_ξεφτιλες ! #ερχεται_πουτσα αλλα μαντεψτε τον παραληπτη,NOT
4526,ανδρικη υποθεση η αυτοδιοικηση – μολις 17 γυναικες προιστανται της κουρσας σε 331 δημους,NOT
5858,"μην χαιρεστε και πολυ που εφυγε η τσουζι, αυτο λεω μοναχα #gntmgr #gntm2",NOT
5955,@user να σου πω κατι ρε γελωτοποιε... προσπερνω οτι δεν σεβεσαι τιποτα -ουτε καν την ημερομηνια που εχει φυγει καποιος απο τη ζωη. το ερωτημα μου ειναι αλλο: θα μας σπας ακομη πολυ τ' αρχιδια; ο καθενας θα πρεπει να ζηταει αδεια απο εσενα τι πιστευει και γιατι γραφει την αποψη του;,OFF
9377,"@user απολυση λιαγκα κ λοιπων. βεβαια δε θα λυθει κατι..ας εστιασουμε σοβαρα σε σοβαρα πραγματα. κ ναι, η σεξουαλικη επιθεση ειναι πολυ σοβαρο θεμα. κακως εκανα πλακα εστω κ για λιγο.",NOT
5268,@user παλι μακαρονια μωρη,NOT
10070,@user εγω εχω αρχιδια κοιλιακους,OFF
7176,δε σου εχει τυχει αεκτζης και μαλακας;,OFF
1843,μ αυτα που ειπες κυριακο θα παρεις πολους ψηφους εισαι και 40 χρονος !#survivorgr,NOT
2630,eδω το σιχαμα της χα νομιζει πως ξεχασαμε οτι δεν ανηκει στο ανθρωπινο ειδος και μας εστειλε kind reminder να μας το θυμισει...βλεπω να σηκωνεται κυματακι στην πηγαδα,NOT
8968,τι εννοεις οτι δεν εχεις ξαναπιασει πουλι; #gntmgr,OFF
4532,@user εισαι νταλκαδιαρης κομη μου. τη ρουφιανα τη σωτη τι σου εχει κανει...,OFF
2431,"@user ευχομαι ο κμ, να κανει τις μεταρρυθμισεις που χρειαζεται η χωρα, αληθεια το ευχομαι, γιατι δεν θελω να ειμαι μια ζωη μεταναστης. ομως εαν εχει τον βαρουφακη και τον βελοπουλο απεναντι, δεν το βλεπω!",NOT
409,"@user ε ναι, γιατι σημερα θα εχει κερδη ο βαρδινογιαννης και ο μαλακας ο ελληνας",OFF
5494,"""το θεμα του πλατου"" λεει και σπαω το λαπτοπ #gntmgr",NOT
4577,@user πουτανα monsanto τι μας ταιζεις...,OFF
361,"@user κι εσυ τωρα μετα απ' αυτο πιστευεις οτι εγινες δημοσιογραφος η καποιο αξιολογο κι αξιοπιστο ατομο;οχι φιλαρακο ησουν εισαι και θα εισαι ενα δουλακι του #skai_xeftiles η ντροπη της δημοσιογραφιας, τσιρακι του γλειωδη πορτοσαλτε και συνεργατης στην ηλιθιοτητα του πανιβλακα υποφαντη",OFF
9046,@user αυτη ειναι αυστηρως απαγορευμενη στο σπιτι να ξαναπαιξει. βαλαντωσαν οι κορες μου και η γυναικα μου. εγω φυσικα ως σκληρο αντρακι κρατηθηκα. μεχρι που εβγαλα τα σκυλια βολτα και ...οταν δεν κοιτουσε κανενας...... ηταν μεγαλη η βολτα...,NOT
1667,@user θα φατε πουτσα μεχρι τα παπουτσα ηλιθιοι συριζαιοι #ερχεται_πουτσα,OFF
2514,@user δε συγκρινω λεω οτι ο χαρακτηρας παιζει ρολο για την πολυ ασχημη κριτικη ειτε εισαι αντρας ειτε γυναικα,NOT
469,νιωθω δημοτικος συμβουλιος #shoppingstar,NOT
3957,@user χαχαχαχαχαχαχαχα τι μαλακας ειναι,OFF
4708,"@user καλυτερη συνταγη να σε χασουν δεν εχει απο το να μη δεχονται τις επιλογες σου, αυτο που εισαι κ να προτιμουν να επιβαλουν αυτο που θεωρουν σωστο η θελουν να εισαι. εγγυημενη ηττα 1000%",NOT
1107,#προτοσαλτε αηδια εισαι . #ekloges2019,OFF
8194,@user ψοφα μωρη σκυλα,OFF
596,"πετρος: «να ρωτησουμε τις μελισσες, εμεις δεν το εχουμε ξαναπαρει». ευτυχως, εχει χιουμορ. #giatinparea",NOT
4914,ακομα γαμους κανετε ρε πουστηδες; δεν βαρεθηκατε;,OFF
5859,ασε μας μωρη κατια που παρεξηγηθηκες.. κοιμομαστε με νευρα οποτε σε βλεπουμε.. #gntmgr,NOT
7674,@user γαμησι που θελετε φασισταρια. αλλα ετσι ειναι αμα σε χαιδευουν ολες οι κυβερνησεις ξεσαλωνετε,OFF
3758,4/6 βιντεο ντοκουμεντο το ορμενιο εβρου. χωρις φυλαξη ανενοχλητα εισβαλλουν λαθρομεταναστες στον εβρο. εσυ ψηφοφορε της #νδ_ξεφτιλες αληθινα πιστευεις οτι θα αλλαξει κατι με τον μητσοτακη; αυτον που αφου εισβαλουν οι λαθρο βγαζει σελφι μαζι τους κατηγορει ορμπαν σαλβινι,OFF
7056,@user αι ψοφα πιλοτα.,OFF
